msno,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,transaction_date,membership_expire_date,is_cancel
ym3LQo+PGiqyBIkba+pJpw6SdYWGrw9ljr4COt3KMiQ=,41,30,149,149,1,2017-01-19,2017-02-19,0
fUBREIOS0+BSTTST92k72QnYkkerQtqP+qVQ87ow4Us=,41,30,99,99,1,2015-08-17,2015-09-17,0
aAmv13zjMD4WDSwBCnbdtGujfv8CGJKpuhPueIzEj3I=,37,31,149,149,1,2015-03-06,2015-04-06,0
rg7OnrRcyQ5RGBPOMEWMccAeA+nkr7K7L3A+HYfa2VA=,41,30,149,149,1,2017-01-04,2017-02-06,0
+9v4Rbyc+58MyKbt1wrCskWClJadOJh7CapZa9CYXUM=,41,30,149,149,1,2017-01-13,2017-02-13,0
m0oTs7jcQSbDbKvInAVpzKnhjNAW7TzxIZbd6C1zc3M=,37,30,149,149,1,2015-09-13,2015-10-12,0
WbcGTZRW5Ibx0Z6LuGDlboZl4QyGTTIYaj+I1rS8qCg=,41,30,99,99,1,2016-08-31,2016-09-30,0
/eor7TS2ZhMySoR71RDYsk4aVbCpY4NhcPDl+87SpBM=,36,30,180,180,0,2016-08-01,2016-08-31,0
bT4yFcN27IFAIQewGMkoOdejtiTbya4jux0LZ5JFkaE=,39,30,149,149,1,2015-06-30,2015-08-09,0
6Dc8NKmdqQZrDZU6h0dugnc2u7AbxSrIUsDJprPCeFA=,41,30,149,149,1,2015-06-03,2015-07-03,0
/MwMYtH0gw8ZIp3vdCa3RdDCEV5MbpAoXhQimRjw0Mg=,41,30,149,149,1,2016-12-18,2017-01-19,0
VnQkjrg5MZdlH2Tk1THIIZskyv17svjt2uvZkWUV9dQ=,39,30,149,149,1,2015-05-31,2015-07-28,0
kM178vc6aV7oImnKBB5sG38gadsB7ID+V5Qg+iB5lnw=,39,30,149,149,1,2016-10-11,2016-11-07,1
mP0X4l+wKwwRNSo3yWkeMymXsHBuiCITLLKPwOjam+Q=,38,30,149,149,0,2016-09-16,2016-10-16,0
32sFFQrcmalPxCAQzrWZzgCrCGpvObAWaGeXPbz9ADo=,39,30,149,149,1,2015-05-27,2015-06-02,1
e3tyW4HjBIatNkB+m59V/fAxgjBWL7/GI2Brl49jYMY=,21,30,149,149,1,2015-06-30,2015-08-20,0
c6m2hRuIB4IZuwMg9p3kxYvSlNRWsXsxtG6o2oHhBTs=,38,30,149,149,0,2016-11-04,2016-12-04,0
nKQEQhKOD16FlpeojDtVMZPKSPm3ebdhexqau0HLiow=,41,30,149,149,1,2016-06-14,2016-07-14,0
IDdn/r59FacK3/koiDPHtMhqXL4H+dnDyoViVQ+zuUE=,41,30,149,149,1,2015-12-12,2016-01-12,0
WMO3vThOUYAnIADLJ8S7CZ2v3Fg6IhjnKWadnrGP0eg=,41,30,149,119,1,2015-02-14,2015-03-14,0
iNDAs+IswokpR69lcTWOj3CGynNm12/0lh2KB+KPBlM=,40,30,149,149,1,2016-07-11,2016-08-17,0
GALP7fSbh3lWm9LlWh9CWpHI85xSfLzIWIP2tQz8gEI=,41,30,99,99,1,2016-06-08,2016-07-08,0
5CInFKkcBo/UxkObN6mzrj/KOKPXiJ6Rg2SmVCI9T3k=,41,30,149,149,1,2015-09-10,2015-09-11,1
eRrYdUiGl59YXw0ra1iMRBl7qq7FCgfnF4O6GgSgQo4=,41,30,149,149,1,2016-02-06,2016-03-07,0
iZZOrHLbafabXJEKIGzLYX+hE9EkcL8JfpHkhq1sO6o=,38,195,894,894,0,2016-04-26,2016-11-07,0
po5PGKXk4BJ+3EH/MiXFk5dLCDhknihDUBSUBAc7z+0=,38,30,149,149,0,2016-07-17,2016-08-20,0
iZZOrHLbafabXJEKIGzLYX+hE9EkcL8JfpHkhq1sO6o=,38,30,149,149,0,2016-02-15,2016-03-16,0
HA5Fo4ulASCusi+puz9cwgHTizZJcX/+rPsZ9VU9hxk=,41,30,129,129,1,2015-04-15,2015-05-17,0
GYsqC7BQm2jxsXpCXqKmUKL0pziRBiVlNyusbkcw++A=,39,30,149,149,1,2016-07-31,2016-09-17,0
XRuD0zuphTmgc9PaoGF5UzZcWqPgeTuCkdD549xB/iM=,38,30,149,149,0,2015-07-27,2015-08-26,0
Obsfr611UgMho7Ai15GuspnlPhu9NRGDzXitK7Z7PNg=,41,30,99,99,1,2016-09-12,2016-10-12,0
0SqrYhePudu0WSe6nLXeXJCZcouYnGt+O0pnGCeHZ38=,41,30,99,99,1,2016-10-31,2016-11-30,0
KPYT6sy/NMSB3YXLMK5Q4bA7sA+sUo+fWPfA0/jFHwI=,34,30,149,149,1,2017-01-31,2017-02-28,0
Tt/bJN+hpLTGaVERjm0Z0hJqJ6zi+nF7LjEkUjRjztQ=,20,100,480,480,0,2015-10-22,2016-01-30,0
u/D9fAcdQoingwNpIGs2g2w+Jz5YTyEmlCMnMtouib0=,41,30,99,99,1,2017-02-06,2017-03-06,0
nwY2YJRZN8wZ52x+im4CGbwKeatcjJagqe4SASb0KlY=,35,7,0,0,0,2015-06-13,2015-06-15,0
iTkGfPn4eczbU0LcP7basrINRowakUksfOuqPXIktqk=,40,31,149,149,1,2015-01-11,2015-02-14,0
Cofn3nHLJHv/eR54tDHL3HZLA+F20r6+TjWxquf9hFA=,38,7,35,35,0,2016-02-09,2016-02-16,0
+ikgRAmrCW349x39kQ0nOqh9jvajPXJFZkI9Q6omEMs=,39,31,149,149,1,2015-02-28,2015-04-08,0
9N+q58Vl33+QW6zHwivroNlgJw88g9ghwX/ke+OhgtM=,34,30,149,149,1,2016-05-31,2016-06-30,0
+kbXNszLheADYStfNoRwa9q9sZykS5Tfk044GMwOw1o=,30,31,149,0,1,2015-03-15,2015-05-14,0
rSjoGQZruL2VWfRnETrLBa3EKfX0Vd3GURD8Muh79eo=,33,30,149,149,1,2015-08-20,2015-08-19,1
fsXv/XX7SuMP+vR8d5690EuXpiYAV5wNvgqajp3IeqA=,33,30,149,149,1,2016-08-31,2016-09-30,0
uwO2ji9DSRzTYAVxW5gcehe3gHppcYwmsWHIqPJz2jY=,41,30,149,119,1,2015-03-31,2015-04-30,0
P0Fgu4mACJjI6rbxMCjVx2gEgYq2EHrjjfnBLUVjkw8=,40,30,149,149,1,2016-08-12,2016-09-11,0
A36vOBvdE72hwfWGNWEGPdcqTMa5F2OlRHaKYHlJ8jU=,38,30,149,149,0,2016-02-13,2016-03-14,0
mpQgrKfdbMCoDTHXMtBrwqWOWhjguX5EpBibrR1avws=,40,30,149,149,1,2016-01-17,2016-02-16,0
Ubupdnje3P3WLR96H7wFUTp42Ix87xzSc9kvUrdCpOA=,40,0,0,0,1,2015-05-02,2015-06-01,0
Jw3ApHkhZodAfd2JyXjMlt8Pp330bTtJYeFcD7uI7/s=,41,30,149,149,1,2015-06-22,2015-07-22,0
9XFu1cDa5xjJ9F2KkKFlZaySg6ljmgwIfXMEfeLUJvU=,14,30,149,149,1,2015-11-30,2015-12-31,0
ygjGg39kEIyZLCqrvGtFbzDF8DKAKRHVL6HrAOivLvQ=,39,30,149,149,1,2016-01-24,2016-02-23,0
hmNX8CkpHl6b/l4doCgNt45nnb5px8t4kJOjYAA+3Hk=,40,30,149,149,1,2015-07-28,2015-08-28,0
502cLlH9aIR+V0A8lA+/xz8TVfN+p+nrf0XBZk0fa14=,41,0,0,129,1,2015-04-25,2015-05-26,0
I5iggVzgtN6FM2qlcO2poW3+8a65b3t2xWPlY2JQGOM=,41,30,99,99,1,2016-11-16,2016-12-16,0
cjQ9eaKLF8odg9DwUY8uddH1Etke6+3BEEXTv++HTcw=,41,30,149,149,1,2017-01-22,2017-02-22,0
8Bdl7B9FCzwwxKtEtmifUVstWI6spNUfv73j524QkMw=,41,30,99,99,1,2015-11-09,2015-12-09,0
9kBwpuVxX5qZYpWy/koCatB0Ic/TCm5urJ5FClj20OI=,41,30,149,149,1,2015-12-14,2016-01-14,0
rqBVUHw19CBTqaDoSTe9A/c+eJDuXXe9T6aZYJKvxns=,41,30,149,149,1,2015-11-20,2015-12-20,0
AHZXB12c2ARxR5hjsb9bhD4xYxKp0yU0DUZPSRIxxpg=,41,30,149,149,1,2015-10-22,2015-11-22,0
ckzTTVSWhOxRlwtTQQwaz5TSwKizN/l5n0kk8qczWZE=,41,30,149,149,1,2015-01-15,2015-02-15,0
H1u/vTLYgfQF0U3hX4+uJJMgJIJoiNqwmsDZKjHcuhQ=,39,0,0,149,1,2015-04-30,2015-06-02,0
ORE1a8FarYQ3O850gtY8FLdvgaLSM974TyjQrR6nw10=,32,410,1788,1788,0,2015-12-07,2017-01-20,0
NRtxwsyh88fNdIkMifkAjFC2bUyeN0yAaT1ZKmBF/OM=,41,30,149,149,1,2015-11-19,2015-12-19,0
4o+f2q0dh3/LeqvRuVA/3TmEpv6aWXtGGH0UyWNpKR8=,41,30,129,129,1,2015-09-20,2015-10-21,0
AE4THAAVLxeywcYzdcYXOFVeAhuOt5ztorE49xYrVMA=,38,30,149,149,0,2015-07-17,2015-08-16,0
u/D9fAcdQoingwNpIGs2g2w+Jz5YTyEmlCMnMtouib0=,41,30,99,99,1,2015-11-06,2015-12-06,0
7P/NImFT290NQTJTmPOxNNdp8Z2RlLghia8vuoh62sw=,37,30,149,149,1,2017-01-22,2017-02-22,0
23LJiQ08XN8K9FnnHaZ9O/zHCyvcTxBt5lQkGi+3V2U=,31,30,149,149,1,2017-01-21,2017-01-21,1
d1aT4XF3d9lvKP193m1tinAhStq+cI+ygQpmIhWsAmc=,41,30,99,99,1,2016-06-25,2016-07-24,0
e6y41vL9ssgFHazKMCgF9uP3rz6S7+vgYOVdXEDyALQ=,40,31,149,149,1,2015-02-01,2015-03-01,0
cZNoCyjFV3jaruV+1MXRgwj+bx3truIFzG7qP127hEE=,41,30,99,99,1,2016-02-01,2016-03-02,0
egW7EYTh2AtjaT0+KTolkvLRsO1QP+uro6sEYI/593s=,30,30,129,129,1,2016-07-18,2016-08-17,0
J8fHEonFlNU1cqsDsGn21XXAtXBjm3KJemrYeRbiLYA=,40,30,149,149,1,2015-06-18,2015-07-17,0
myAgPgnkaCBmWIXGDXjtWUnW1WI+0/RDB8WWfJiPjr4=,41,30,99,99,1,2016-11-05,2016-12-05,0
bywZY48Hv3gmgYLQCRVCMtafzdJnf1PM+5ZtLOXLB5k=,39,30,149,149,1,2015-06-30,2015-08-01,0
Na2ja4CnmzA9fFWKiF6nm7bVcvYbQBzcOa4JZ62LXjA=,41,30,99,99,1,2016-02-13,2016-03-13,0
hmNX8CkpHl6b/l4doCgNt45nnb5px8t4kJOjYAA+3Hk=,40,31,149,149,1,2015-02-28,2015-03-28,0
Cw40DlKWceN22pcYz4w56K47jljL4XSlOryqg+XN8HY=,41,30,149,149,1,2016-09-13,2016-10-14,0
Hxog2nqfDAg2sB5dPLrZLViZmg9RdS4Z1Zx0iryfCt0=,41,30,149,119,1,2015-05-21,2015-06-22,0
Sn/cvB36OrqmGsXE0dAwzUPSIWDSAiIS+g928GNXCGI=,41,30,149,149,1,2015-01-26,2015-02-27,0
J64TOgceyYHyl8rH2QtIqwjEPOqlGPAtQq0W8BtFFtY=,41,30,149,149,1,2016-12-04,2017-01-04,0
M4aaPJPsXf0nrBCGeNRQsa9tvxyGN6jkcjL6EYlTrs0=,41,30,99,99,1,2016-10-01,2016-11-01,0
NwfVNESAINqHoTXOU4ClzbyH9A+1qfimhqRnzA4bw68=,41,30,149,149,1,2016-06-24,2016-07-24,0
OKrmS3Z7BAbGvLZA23hfDUnjIJ3bGwpRqCwoXWbAQ9A=,41,30,149,149,1,2016-03-07,2016-04-07,0
MPEgTw4nCmON+/uHcxkydcu70AaGjHcNSifP6jz6J/I=,40,30,149,149,1,2015-11-04,2015-12-03,0
5fgTKBDfaDH5WZ3R4A51F52lD4UFh9feAq71vYiMpT8=,36,30,150,150,0,2015-09-29,2015-10-29,0
wWn0KadBam7bb8fRkFkrsYtD6VsOEBH0QcBPte9DdUk=,41,30,99,99,1,2016-10-21,2016-11-21,0
/yGzwbQGIEI0uuXU5fR/ekWNKbMDk7+HIrOsVUEixok=,36,30,180,180,1,2016-10-22,2016-11-21,0
pfc1rUkJZWjGGavE7TwjF9fRyvb3LYYpRHpwiVCFfIA=,36,30,180,180,0,2016-06-09,2016-07-09,0
0Nth/7wIIk7TTJP4fh/KDdTg0p5j0R5TMXv2XxztIZs=,40,30,149,149,1,2016-04-07,2016-05-06,0
5aVkzaQ88uQYLB1rUVAS4xTZ3vIxRU3vCXzWkk9OzlM=,41,30,149,149,1,2016-05-05,2016-05-05,1
oNEDvA52nNXzYNGucHBKJGpWG/ato4VCSfzUCIQ7sUM=,38,30,149,149,0,2016-12-31,2017-01-30,0
DfcDLV0esK/nMqTBGVuaMCJBJ8RzVuk4OdqkkzzdF7c=,36,30,180,180,0,2017-01-30,2017-03-01,0
XuMqDpIGXynbOyfgFn63+Gkc3UIyOGk5oaTBtmIjFfo=,41,30,99,99,1,2016-08-11,2016-09-11,0
W/D1onpjN8aV+xOJ7tuAREEy48778ge8GLD8CmqFE/c=,36,30,180,180,1,2017-01-05,2017-02-04,0
pl8nwHJbfer4oyjLLK+u1F2LYf4QE7RBc7ViFu6hBQw=,41,30,149,149,1,2015-12-22,2016-01-22,0
H1u/vTLYgfQF0U3hX4+uJJMgJIJoiNqwmsDZKjHcuhQ=,39,30,149,149,1,2015-06-30,2015-08-02,0
hdXMVxikL7NUg/bKg8JhXRlwr7LJD0fBxdvb9lO67n8=,33,30,149,149,1,2017-01-31,2017-02-28,0
/svqVD3sw598PW1wnRdptX/AV0LRm0yLxMf/XoIiakE=,40,30,149,149,1,2016-08-01,2016-09-06,0
YUMQ7Z6Ls3aYtZrdtQZSSWsHS23e8ytv2LvB7184CGQ=,41,30,129,129,1,2015-04-08,2015-05-17,0
nLJ+juiu0N8Ks2AyOW8f891TIf3W/vpf3/HQC7moCY8=,41,30,149,149,1,2016-06-10,2016-07-11,0
K4c8+YGqUbx16qF1vParDiBG4JSaIuPtmnfHcNFW0l0=,39,30,149,149,1,2015-05-31,2015-07-21,0
J8fHEonFlNU1cqsDsGn21XXAtXBjm3KJemrYeRbiLYA=,40,31,149,149,1,2015-03-18,2015-04-17,0
D6I0gduYBIheTmkHJQC/tbG3/HKQg0AFOixyWcQ0+Ck=,41,30,99,99,1,2016-06-27,2016-07-27,0
yRrvMLgKlRE2SIwqh2Kw4hz5I8XVEcAHKmbywHhrbBA=,37,30,149,149,1,2015-12-22,2016-01-22,0
9H4Sb7DxkxlwybnA/ByBtWmwXsO6L8sVGyTegzgMiU8=,41,30,99,99,1,2016-11-10,2016-12-10,0
cDZ6Jzl6k+sMzZ3YkpAmLGj0d26uzOvP1XDE38I+xtc=,41,30,149,0,1,2015-11-08,2015-11-08,1
aK/v53Iuf/Agbfmz/I59N6GUOtRCZNdaEuk/QWMhHVQ=,39,31,149,149,1,2015-03-31,2015-05-31,0
pi42Ijjvpm863wBG1OjQvQFCnst3fQQcllfXN4htLNo=,41,30,99,99,1,2016-10-31,2016-11-30,0
HiIu7UIhOgGPkXvZkogb71Sfwu22+seIlgEg9EUKubw=,34,0,0,149,1,2015-06-30,2015-07-31,0
lM0lYzy9aodv5Kcv02yC5eI/79Tyq9Z8zV8LcLkUAm8=,37,30,149,149,1,2015-09-22,2015-10-22,0
neY/RJHUFRllD/q2X+KVBrCN+JXHGeVcinioXgBMaMY=,41,30,99,99,1,2016-11-12,2016-12-12,0
AvxtcUkxvHW0erGSXvPlXCXT1QnpaeQt3wRXtvrpbqw=,38,30,149,149,0,2015-12-02,2016-01-01,0
rrbaGKwJyEG317RmL2GiCe6TZ/pg3GuAe/ppj2cHHIA=,39,30,149,149,1,2015-12-02,2016-01-22,0
eRrYdUiGl59YXw0ra1iMRBl7qq7FCgfnF4O6GgSgQo4=,41,30,149,149,1,2015-12-06,2016-01-07,0
De3nJK/g8HL49zJy15hvmYxAPlP2IIPPdF19eU72z7s=,40,30,149,149,1,2015-12-08,2016-01-07,0
XZ/W0nfV0k+XhPYsypZF1Tk2fFW8ie6iIma/hKzUcOg=,41,30,99,99,1,2016-06-19,2016-07-19,0
XZ/W0nfV0k+XhPYsypZF1Tk2fFW8ie6iIma/hKzUcOg=,41,30,99,99,1,2016-02-19,2016-03-19,0
u7RZjEzTT4ssoSej5lD7xRkuPUk/n17l6m0wGp5jQoA=,34,0,0,149,1,2015-03-31,2015-04-30,0
YLlt7zE4hdSBdWXYWiqrUgiKbML9t8gma6qfv8EHPPs=,36,30,150,150,0,2016-02-10,2016-03-11,0
hrgp+alU3vbT+0fxBMRSTK8ulqegIsaIg6iTqs7lI0A=,33,30,149,149,1,2016-03-31,2016-04-30,0
2EydMkNIjp7KmiGHPNDwqf4BLoOsjkExhUgkBJ7b1m4=,41,30,99,99,1,2016-03-31,2016-04-30,0
JTgQzCBxqKuF88hBSuqy63EcZKtVwb3mBjv1iRYzk7Q=,38,410,1788,1788,0,2015-06-08,2016-07-22,0
HQ9wkaEQb9IgCqoeOk1lWkPTAELuU1bNKc6KR1K/ozM=,41,30,99,99,1,2016-09-07,2016-10-07,0
OUxdrTC+uHA3krn0I6F/soo9euY6UlDSekyFbRaWFSk=,41,30,99,99,1,2015-09-06,2015-10-06,0
qfzg270BG4P2x7HIxgC0uQnY5DtI81jUJrCY2xk5z+o=,41,30,99,99,1,2016-09-11,2016-10-15,0
nwlTp8aUeXYNlzdEhBKNoii6BTLFTtI+Q10igaGfuqk=,41,30,149,149,1,2015-07-15,2016-09-13,0
CId1Yi/fUyVLwz+mfsaRjYwV6SYTg4yPxUtxS3iFVK8=,41,30,99,99,1,2016-06-16,2016-07-16,0
WTWHSmzCrBKobtO+9l5NewYsZYgG7UTL445y3N1hI+A=,38,30,149,149,0,2016-02-01,2016-03-02,0
a2ig4e0tlCzT7sB3mqz5DZZpOp4uUTwqYq6Y4k6oBE8=,39,30,149,149,1,2016-07-31,2016-09-08,0
1GRlJJmLS4qjS97iPq765j2Lrnp2HqzAoQWQs4wutSs=,39,30,149,149,1,2016-07-31,2016-09-12,0
eJBMEJcvWsZkygjA3wqea+f6AVaAxyMAcN8QnRG8N40=,41,30,99,99,1,2016-04-25,2016-05-25,0
