msno,city,bd,gender,registered_via,registration_init_time
yapbHyRRC4Kqs17dTQxE/wdxSXi2SFz/E9BALJ+D1bc=,5,45,male,7,2010-08-10
3cAbsxuqaBE3MlUoxWv9PJuOQiAHnWH+A9Q6kj9Ne9A=,1,0,female,3,2014-09-03
biyk3uGPZ2RZdhCNLOHn/RVcUxrrOAGFCeCWmhMMPgM=,1,18,male,3,2014-09-18
Y3RovAzn8DQngr21L43RYYPgMIs7ZSRj5k+dWhuTnho=,1,0,,7,2014-02-11
FqASz3kw8seBlkiOZF1P28UdINxK60z2TZuq2tAKBnE=,13,0,,9,2015-01-02
n77ACl0phAcgm54JNBi0ED/NM+kA2r9lE3cPgIOi+IQ=,1,0,,4,2016-01-12
IsvGcJnfnbq76lHcjUJqTCbmGQXprs6IujoppTImGu4=,22,0,,9,2012-02-04
u4FMdmzIcFGqAn6Gim1bVZ0rac6ZsJVSoGNnRc7xHL8=,1,0,,4,2016-11-23
fsjX9MO97J+JgiYdARUtptNG3XY/BP+rSnJ+YOMaNE4=,1,0,,4,2016-11-26
SerQumKiY+5nAXTobN5KPldzh0lBU/0J6jPe0GAgqnE=,1,0,,11,2016-12-27
If35Qr+orZSlNobGuaypmeUjPz9txxc2FeHWV8Ji+PI=,1,0,,7,2014-05-03
1A0bEDtphNy4lUwei7B42z22gOa9WbxHaLwC2nx+6YU=,1,0,,9,2014-05-24
foI97BJduY1bNwtB0hd6yGZdkUDVm0YTDyfS14Dk6vs=,1,0,,3,2014-06-20
vVcW4yb8inv4Dw32vQRK5P2U0jQDAWCrfIgMR4bbJ74=,1,0,,4,2016-12-30
Sr5ySyN1N73YTOTdI9Gkvtwse/fYLSjx9azrBsn3EKc=,1,0,,4,2016-12-11
OeBUJM6v3w1qbVaNvNSAmIbTYcK6vXjOOkQO8EU6hkI=,1,0,,4,2016-11-26
GbwwPyJf4MyzqQU7zrVm6+ivLvtWGm6qxHyUFgsm5oY=,8,28,male,9,2006-08-29
tTdP8X6JCmYqA76RU4nsI7Omg+VPKWP1tS48BVnqLZU=,5,35,male,3,2012-12-24
50DJPlBRD/c6zK8Rp6bMzvUI7g7JqXXqEQgKqdTXEYk=,1,0,,3,2013-09-23
QfKqOG/8Nlxf4RCgc5sw2EEXzolFoW5c0j7fZUqWLpQ=,1,0,,7,2013-09-23
7KXHLIVpAw7go0X6C0J5aYnKHYwQjJDLdO+rh1jLu+I=,1,0,,9,2012-10-03
pfc1rUkJZWjGGavE7TwjF9fRyvb3LYYpRHpwiVCFfIA=,5,29,female,3,2014-11-24
cBeYtKzP/zabFf6v2/g63RP6/hzq7jnYiOtREUYGY7c=,1,0,,4,2016-09-19
lT4H2lU9/f9zlT/6BnSENyC4CBkfLj072XvHN93caJw=,1,0,,4,2017-02-12
lOd2c9Hy6n4PnWAK92sfI/ObmgBD7oekhd8dW23yTaM=,1,0,,4,2017-01-31
/ho0O9wiysOlxranLengenHN/D1aXd4sYiUjOEcFo6U=,1,0,,4,2017-02-13
Kg9gmW6RZukT6Rn1bv0baOxOeZcHE8yQ6gWdLFcj4mE=,1,0,,4,2017-02-17
Zceng8OWAE3psGDlMDlL8Y9k9LJsYW4HeM7NXPE83ds=,1,0,,4,2017-03-18
ihUKh+c1BhyhvFuzLBRJBZgYlwpFjyMLXn0UCF3gF+Y=,1,0,,7,2014-04-29
Q50K2bZugwaFrfq21MT+nD290nV04QS2Faia79haXe4=,1,0,,4,2017-01-13
u8suCQDyNW5oCwMUTtbbZTk2uzrd2QsboUe4p+dU0Fw=,1,0,,9,2014-11-01
RXoik4UlSh5IvjHOj++Sn3CQbk4oQuiWnzDP66e6bws=,1,0,,4,2016-11-26
oufRTU8g9PpYX1YdwZfso1Ylncm1E6P1Foa6nRdtbiI=,1,0,,9,2011-09-11
bnaMS4RKZ4tXdBGSsUQKZmYkI9ndwV41b7yFLbw/IYs=,15,30,female,9,2011-08-05
PiFRNlmHg53lqwVhAhpeRcsu3WtihezpvIebDIDg9G4=,13,28,male,3,2013-10-18
bD6tLqHvFDNmzG2kN8CYf1S5fsSrEeE282AW+f6crqI=,1,0,,9,2014-05-29
L3IqkRJqCkLMMBd+Id39uHUBX+66wxhp2BaRwOl/WKA=,5,20,male,3,2015-02-02
nT196gO66gpGz3sngTirNyCMPTnIFUks5acvsxNJbns=,13,29,female,9,2008-06-20
hSxbp6iLcopivCgRYeFx+/NtsFD2Qtc5Ivr3cNBPmKo=,1,0,,3,2014-05-23
DEQVyC1gS6ja+iR69N+sN4QII2wLMgHguX624fCzAJs=,1,0,,4,2017-01-06
NkheVo7YtDpSS969eMgj+Ucf2EXv5f7Lq6nUtynTpN8=,1,38,female,3,2014-09-07
i6SnROHR8aZkKBg7xqA8FDApMo5as3+mRzdSVKzYhfg=,1,0,,9,2014-06-01
jrQLcdF6IYGGHMB7S6OpyCVn7X0cOQ9feam0uJksBdI=,13,55,male,9,2007-05-25
bibwEPze2w3EDJpA/SV5n0kXyD+OfRKel6aGs8UTo6c=,13,50,male,9,2007-08-18
jFbFGPZcAPfAFOHt8Lt8b8ucCo9fbRFmmUBuIwXd9eg=,1,0,,4,2015-11-21
XDvqZ7KtY0J80pbyJnqVRpI7ZFgYu9D6zYWKQImrXjA=,15,24,male,7,2014-02-07
IkEg1lRPAV+bAETWUHA9vXXWd2zlvL78MwVNXY/vwwI=,1,17,female,3,2014-11-02
TKZlQCdkgf+eBX8vMU44JuU7yNHX4i4l5DypSJyxYIo=,1,47,female,3,2014-11-12
h7tJGPpxKrmokFBupYIoYUGFp//Pbp1l2STZgOviEYU=,1,27,male,11,2011-04-18
nKYJv4XjJXKGUCC1jccb6NOgcU1UXTPuc+au0TD1S6A=,1,0,,9,2015-01-05
mVFb9bXGNYkxruBozU7u/MY/vQvqRhIhbX8VMCdMy84=,1,0,,4,2015-12-06
ULn1qm04Qfy4ZGQpr2ME2XJ8HU8XG4olzU5IlCAxGKE=,1,0,,3,2013-03-26
m9tgYz6NYBbrPeus9mCnvlJZSkfE3lGYu6g3/F2IeU4=,1,0,,4,2017-02-01
5dUhDOGxfxrbeZMHxHvdpW4LdQfAOi5DkJFuJg5Jj8I=,1,0,,7,2017-02-06
jVJHVwwjcPzOLdeecX08zkUH2jn22UCCilFCfzsMc8c=,1,0,,4,2017-02-12
fiQKBga6lCtBSTZWXlY4HBM8YcT/+9KuOy5H0h9PwfM=,13,29,female,3,2014-02-11
bgvrScEzAYkCp7hHNGd+Rc+QhiRC2a+CMw17vigWHYo=,22,19,female,9,2014-01-28
2DT6kK8xMtJPgp8qFkKxRsiqc9HeLM4D+3Xo8WQ6oZc=,1,0,,4,2016-11-30
HCiHsGYG8rrfHey43XVs2OlSIvxDxDJOdajQG0loyoE=,1,0,,2,2015-03-30
WwFVCyZbgpJo9WKLyfzDGzSRvEP34HB+1LmBsHrfeqA=,13,28,male,3,2015-10-01
x7jW74COoAJcSPopUBByvy25P/dX/+q5oqBdEfqwOW0=,1,0,,4,2015-10-14
+mvP40sCDOIUVzAbLO4IZKNK6sE7fbA5zcQlxC8a6MY=,1,0,,7,2015-10-14
9bepOuoCUudzTIYK36kaoLWj+HsX4M0bOR4Uk/8bohM=,1,0,,4,2017-01-26
EJEAtKvXjTg1V6BRLXuqLhXIA8JEJQHYM2ME1UuJ/DU=,1,0,,4,2017-01-30
5OXXd9k3DH1lycZB978u2PThoAlQ9Cio7ASgDYvgjkQ=,1,0,,4,2017-02-01
derKJoYh278I3qoGrFkgqVR+xKtG0lSTQUJREzEPjv0=,1,0,,4,2016-11-05
rM8RZ21YhdjvBlI+AvmwGaN3bC+Bw3E0UZxMFfT0yvw=,1,0,,4,2016-11-27
3hg11gHTLw/P3ydkRf5sakicmuYoRYddHy6A+vdt4N8=,5,27,female,9,2013-04-29
5P1TYubtosuRQL+XYZ+TDixXQ6FjuYrko/4cd0I45O0=,1,0,,9,2017-04-13
p5JhJfKDGLm+AVpcPCWGRNKZ7zIhDH0uUvlXAsi9TU4=,22,36,female,9,2007-08-28
UYCZlPpr2XyK5mpt9S2NrigFPtpu82fFX3x+b9RYqO0=,1,0,,4,2015-11-16
5oCQOBDUj83zSxuzqkWqOTv+ccMGXU5Dfn5MlYSwUbg=,22,30,male,9,2007-03-09
F8bl7490mLEtbGgSx/CE8L459a7c1K9pR2z9idZNdqc=,1,0,,4,2015-11-21
0Av7bk+3pPmkXj4ZwXFvO1xGdyTXHdFC2rbl8RTcHik=,13,28,female,9,2004-03-27
QO0iS5NnhLMq7lOILz6X5kpF5/ft5y3RDWWsKfokh3k=,14,18,male,3,2012-07-04
TaSPEN/wbYgHh3i8l/OvrZ1VxnxWe9cqFFIOZ4N6RFg=,6,22,male,3,2014-06-06
+wjpT2LoX83kETemNGNmJvsGtRG9Il0aPx8CZJOfOOs=,1,0,,9,2015-02-23
uoz6iAOlMbiZp7VoZZLCzOL3dwafro0hsdCxxfNRrpc=,1,0,male,3,2015-03-01
flMxMq6NfE+/9HQdSK7ILSWKkbH0WyJKinzNPmp+c5M=,1,0,,7,2015-03-13
5nCYNCYEmc/p52AKSM2hpNZ9GLPCy6dcJkbZsEpNWaA=,1,0,,4,2016-11-07
DMbzka92mxuS9FX571ZcQ7+cn4nMZTU7CbOw0nQzBQI=,12,32,male,9,2010-05-07
kPjvSDrIdr3rSj4o7+9us9Qcpg6xW0p2Qy2UM4Im0BM=,5,48,female,9,2007-06-01
WxIferjpUnG070Q6F70am9KckRZYjK298/P14K87W7c=,4,21,female,9,2010-07-14
dnPCFaNlpin6J9snd+PWXRFBQRUHkmi6ExFQinz6gDk=,1,33,male,9,2010-08-03
aywel/tS1ymMvIdyhrGPTCJT3BG92fmeXUUUQWZo+iU=,10,20,male,3,2014-11-13
66KavU/JL71rH/ZTrjGMiMQkm5sTcPF8Sc4WSI/ts3k=,1,0,,7,2016-11-26
P7+biIXAqKM8/VnW74xocSyzmofaiPxbISc6Me2X2h0=,10,26,female,7,2011-06-30
wjnZKmkYA4fgmVAk19qkx+qtwYBLPM/UfSrQM9CzDWY=,21,30,male,9,2005-02-28
gLUM84vvx5lctNHUMPvtSR+ZY4ItKuWDT582OLb5V7I=,22,30,female,9,2005-12-05
gTScQqOsc1FifFSErz1QIrlqXmRkgaD/oDIbdKA0uwc=,1,18,male,9,2014-07-16
jZkEv69jd1WvWIx5vCBY7R8UHLHCv0VIeiTT08t5hW8=,5,17,female,9,2011-09-09
dxQHuJEN+q6hntOjpN0+69VIsDlLbxh1cROVGoNVYnI=,6,28,male,9,2007-08-11
32obIy4AfpitLPYR/bUvAJPUhzHaud5Amf0euvupTAc=,4,30,female,3,2014-09-18
yxSJWpjMEVTVJKjW1Gfs5cPAwnMtwxuOLwmJieO+Ar4=,1,0,,7,2014-06-20
4+Qi/LGTRkU8lGpJXeQlpkkMNgIh9sUrx9xxcriA3bE=,1,0,,3,2013-10-26
PuAxdV3lfePfnAGN9IJ+eSpww9yLRWF7dohgpuAJpUI=,1,0,,7,2013-11-07
ptmSFzoihbLFYiHTK0r0xnG0dCsmWf9ss3kDhjQI17s=,1,0,,4,2016-07-26
Ex+F8rXMJhuVh6E3PF8JVqdHfyN4AYGFKr6YUoUlx9c=,10,28,female,9,2010-03-13
yv9Zky1LV8P1HchZOLsQM1ciiTBXxlt9kcZ1aSCSvyA=,1,0,,3,2013-08-11
APwIqXV0OM1PSiTtkbMXI5bBduOchv3c0uqKUbN9eQw=,8,0,female,3,2012-12-18
7VYn/CwMfKmy0MhMGmT9h7YRM9BvSUWP4UH+cF3Cnw0=,1,0,male,3,2014-08-29
cBws0kPWssoztuj87DhM0JiAV89YpEeTET4dp1MIggg=,1,0,,4,2017-01-16
AaELMeEHY7UbMPrStPSgMO4u5ygGfYfSG9RZn4kDN2k=,1,0,,4,2016-07-17
82FQiJTV3cErznJVQgxQOHAhQ0ptK/DygHaZ2D0fAkU=,22,16,female,3,2016-11-06
9NdPxOwqGwB9/2C7d973nFwdxRG90W5xqSG/fpYPOKw=,1,0,,4,2017-02-03
EIptIuFxuxM3XkGu/NhjpwVh2lKQKJkwGD54O3q50cI=,1,0,,9,2015-09-26
amoFgBPY/qGXBAuZP738NBQwC/l4k3NIxZTbmpJg9/w=,22,0,,3,2013-11-25
R10gZdrskeBwsYhOn8SUtCcD1/MDaHj4oxZhToG5o9s=,1,0,,7,2013-12-09
bf0tJU+79GHdfETLTWfB/MBDbULdAMZjjT6AxqDUJJc=,1,0,,4,2017-02-27
x4A0J8AC3mPdJITnUAjfaV5OzzavQnKjTyu1aDg6+UY=,1,0,,4,2017-03-15
vRF5dQpgSl+Dtf8RvU3NNYnMERi/zkM58Tw7fryqET0=,1,0,,9,2017-04-03
NPZDFQCcaQ/mvQE+uDfICM1fU0SrxH14aHdAbkB6reA=,1,34,male,9,2006-11-03
+/2T5bY3QCtBW7UAxp/t7zR2Bo8hKKl79Vp7uQoPz2o=,13,21,male,4,2015-12-19
BmL4Ds1Hc1UPgzCrtPVFiFDnGud9g+O7MvynMqLkERI=,1,0,,3,2014-06-30
96YFPtWlG6drDr9/3xpXuqIOb6IVXEbrBbzAX2l5trE=,5,24,female,7,2014-07-28
ymx7qcFGpk6oy8pbl/ffWezwLd1wUELE07Lv++67tOE=,11,22,male,7,2013-10-26
Yhh/AXn0BeyY/cwLzmoI8jaDSRFIq6lKDRJpmhJm0lw=,1,0,,4,2016-04-26
XrJ/sZCOygYfxZx/87wliHg8svmH6+5KAxC1q6ugQdo=,1,0,,7,2012-01-17
qun6cvwKxgvPLQf/NV58ekNqrzHlILsftxna5BrF3i0=,13,26,male,9,2014-08-01
3xY0iU4fsI3yi3UWnlNCDEhsRu15LePEEkiMeJK+U28=,1,0,,4,2016-07-19
1/UazhqNDpPVPNMLo2Xv0wiTwDJ3BycD5eFJ3eU/QE8=,1,0,,7,2014-01-05
wDdaxwS84v2PfdWuNwpXjVbueo1TgfMA77OHRJmrFXI=,13,44,female,9,2014-01-23
GzmMeoll0Pf6mnNexXi6YnFcFYPVXqUpMH0v6ZXVppI=,1,0,,7,2014-05-03
E2l9Q8fHyl+FyAgcwdjnsMEbrvx36yPA2xA051wj5A4=,1,0,,7,2014-05-23
vQR1DaBt20PbiuM2dwWJR84zUwvm8tXXXlejx/mDAmU=,1,0,,7,2014-06-19
hlFeDSmpmMSrFTsTyT/Gzg28UP/go9ydo30uEP7Y4+s=,1,0,,3,2013-10-06
ll5HKF5WczUbLtSFW6Kti/gtLIkqoG4Cert201iHtMA=,12,18,male,9,2009-06-27
uNzPzJy+99INlPH5NHoxPOvGm/+e4aPdiakTG7x1t8c=,1,0,,7,2016-03-01
OUwSspOhZgwJKnD5blt2dSCw4lhYJCcKlSmUT+zska4=,1,0,,4,2017-01-27
ZN9jLIlkgA+DY9DliCNX/wcmQKDbFzfatvzmC5PWhbU=,4,27,female,3,2017-02-07
Un7JXb2b2CXKAhGNeEMcEznqqAZeOE7kgcJP3r023bg=,1,0,,4,2017-02-26
LSsmT0+AmtEUXTwAlhQRu1g65evGR+5YKRaJCVr1RiA=,1,0,,7,2013-06-25
ofd3qTnObPy+rEGO+kF3V5JYxfR2HUlnXtjLhr34hnw=,15,28,male,9,2007-11-22
ZcIL1HWtC6pVyxqPwrJ5bDMYnl0KTvtVROSsjzHnS2Q=,5,32,female,3,2014-08-15
VvVJsUk1P/OBgPmTOpMix+bnLExm10fI/Wg7aY21/nM=,1,0,,3,2014-04-06
MncTMaBiRVZ5ZnpgFmo+paqd/mwtDL3Cwy9HFORzcaU=,1,0,,7,2014-10-17
nhiQ5De5MtLEWmseuSiY3a015TY19YUPpARmaP48jJ4=,1,0,,4,2016-07-18
8dQsVZm8quL54BlxCVJWKhrK+YPF6tSkH49mZy9EAO0=,1,0,,4,2016-07-23
9N+q58Vl33+QW6zHwivroNlgJw88g9ghwX/ke+OhgtM=,15,0,female,9,2004-03-27
YLlt7zE4hdSBdWXYWiqrUgiKbML9t8gma6qfv8EHPPs=,15,29,female,9,2004-10-30
Np/Y/+KhSPl/4lQOwK9GI2uHNmHexSZ22bEnX4tH2D0=,14,32,female,9,2007-03-29
Ukq11qvS73S+CjrwP6vha1cI3zxEmwpuneAfi3M0g0U=,9,26,female,9,2009-11-10
qcZ2B8IzDyU2wUDSOJtJtDAixfOVjSfOPudeV3fHViA=,1,0,,9,2014-03-07
AaaImaDkjYJ6X+ifClS+hhqVf6pRLFJfyeJlbyWygik=,14,26,female,7,2014-10-26
m/Vb+S9uri+noMH3gjCHGnwpqHj28yzvbORxYfcFfY0=,15,34,female,9,2007-07-06
WQlRDLweFbc0iEuALpekqAcnAc3qI5coh9R99bRp2IE=,1,0,,3,2014-05-18
BpmVWSRNljH/4iy8E63i3IR3rNyhlkFGhublleleOrQ=,22,0,,9,2014-12-08
aqYDvlPCRZ4+7mGp/FgP9fFif1G4TvoMc56E9XDJxk8=,11,27,female,9,2013-07-16
+YQnCEoKT8iPkQe00ja39I2g/v0DymBV/aGgbZK1XD4=,5,41,female,9,2006-07-09
4tXLeNuiz06FKKYn1V5Viisy8x/r4cX6yORifsd13iI=,9,22,female,3,2013-04-25
EHHj9cADFlVtic1lh8L+Hg4juJD7TQegtrDNNEIkiZQ=,1,0,,7,2014-05-13
h5BdVEHWQCHuB8FdiyvZLZe89VUCxvdiKe9qFVl93N8=,5,54,male,3,2015-02-28
DlM3tnGMpAHvNuwlmJYQW9tmr0z3GUoMXIhNHgaoCOs=,1,0,,4,2016-04-13
najokoyDVVzd3TBSvrP7p44xLDkj/JEof6I7eH0bw0s=,1,0,,4,2016-11-05
JKXhdM2neeLksYpkFncIq6ta9aBREiK+dic6TSNSgM0=,1,0,,9,2016-01-02
3U3TFmLr60UBWcaGzC3769aRyPyJ954LdLdOaDfN+xQ=,1,0,,3,2014-06-19
iPhQ5Lr6dUs8vRCSWbDFahemHXmXkoS0iBxHcTnprw4=,1,0,,9,2014-06-21
PZzyIu2t68VwYEOO7XhLRjc/MXo8optiqQpGHvN1fJM=,1,0,,3,2014-07-09
Ordm7vGchpyc4JjYSn0l14wysrGgyUC7xlDrwWu/h/c=,1,0,,9,2014-06-06
/AgtNMGf3/oxlcrBJTEvYlOaqUG9lmuSPY6PijzWOPw=,1,0,,9,2014-11-06
dPMOTRLJ5NPLW+Eb59N0rg7YmkbsXYAt2IzD15+YmLw=,15,36,male,9,2011-11-25
jNSiD8QBvCkihnQlcp1rVqTvvXjT0MIpUUt8mxUXMrQ=,5,28,male,3,2014-11-19
WAs1Wx0cV0mMtQ3daukzm4d9QCzY+BIRB9cm/N/BHIg=,1,0,,4,2016-07-20
5knS0ic3qFi6RAu1OCVKh0l9TuqJCl30hu9MUigl+MM=,1,0,,4,2015-10-17
q+EXFqnhRq5h1y+MIbRwSint/bsgAfsGEmJC+ef3Bcg=,1,0,,4,2015-10-10
iz1kGSi5eYkf2BkwElOGmjUhPv7wVPo8FH7QSzCeNvU=,13,26,female,9,2007-06-03
Rugm47CRyCxQLeQwaLjxthB+QWgv/PwoB45sTsHE+9Y=,1,0,,7,2015-11-23
SEK45D2S4XfPu+BcL0vNGMBPDFutRMizpuYxAYpyMh0=,13,28,male,9,2006-09-11
lsScL3g4BR0YTBHBXuWB2cWTnpbXVgFygkvhM24mVew=,5,33,male,9,2004-07-28
jJolG0uxZ68yaM0YGdxiEQqKLy6ODbWk4IpjmMDmHPQ=,15,0,,3,2013-01-25
WAgScmwVoWTiNJ7dPL8SqWelrocpooNxSzxwBMOPwFM=,1,0,,7,2011-07-31
rZeSMoHdXJ6rPyPDEBg4skp2J1j7pOE39L6rsCV6VaA=,5,37,male,9,2009-01-30
kQ2OABFJ+ejSbLiYXmuxjnw3og0Lgf36sgAZ0FyGF5U=,1,0,,4,2016-07-30
/WjnUUiqJHyDDSD2z9kVdHdCfCojdhfvBvNU2gL3/iU=,1,0,,4,2017-03-16
Z/ejgNz5jVXTk9TvRIwCRvtQclC2x93FJCl2SjPcy0E=,1,0,,9,2014-12-23
W+erZpdETmTx0yjp0uzMb914EBGN7GzaMrhH1b5GLnY=,5,59,male,3,2014-12-31
078ZDz+LJAynw//IKOBtt+2ZFWrVpvWSi8u7ftHi6YA=,10,34,female,9,2006-08-03
6FbqvzjcaH17g2LGNu89sj+aGDsuQzILqY83ha5rWBQ=,4,28,female,3,2013-07-21
Wp7+zCdpUSn8UYHmQD7htACjZkSUZdtb90vMpEoYQKM=,14,0,,9,2013-08-25
eraMEe7LlBYZ2q46Z7oRou1UtadrYGS61Uwp8w5IQJs=,1,0,,4,2015-12-18
PVjh7V878k4gs04pj8p4l2gXpPdm4waAEJsYgeHRKfQ=,5,38,female,9,2011-01-20
W150wUKzjap5RbdwZyhYtDXfEoKMONZ+XGaaH+Gkkto=,1,0,,7,2010-11-16
LtcS+cGXYtPp0ucJwV92hRQIK9Nqz3N4zAVhYXlA+Lo=,11,22,male,9,2014-07-21
597fzhm7P8G5MXk1KcfWegABJ14JpuaqpJ45upAlDhk=,18,17,male,3,2014-07-28
7a7zdjCN8S6b+lOxTtuk21tglLXYd5YHtwRTUIiDwZk=,1,0,male,3,2014-10-14
jlwxCgZq5vtJsa25PGe1yrx1KGEXA+qILJ2xtRb99ns=,1,0,,3,2013-08-03
Lxl9eLxfhBmkK5jlCLvC9dzmFD8q+pKZKCez3ZX50ig=,1,0,,4,2015-10-18
Hnt4k3xYCJ9rdHT6rgEiVDajd9Phn3HMK4fkPMKI2kU=,1,0,,3,2014-07-14
A5uxTHazhvST1WJKbWga+Lfi3jamSko8QRK/itvxupw=,1,0,,9,2015-05-19
Tj2jLlzqeiSIM0p48hoXfIyRYV/GlM3tC7FUASVTZ4w=,15,30,male,9,2011-04-06
cTZbRm2lv9rhPjfiqhE9iYJjyMvwR3VK01cT4rEiN0s=,1,0,,9,2014-02-06
+FQIZ6uaBf9fNOg0RaJvaShbTqeVuGIkskjt9fooDlk=,4,42,female,3,2015-06-20
dc9jrvEWyzBnKlWxtOofQ/geQeGD2TSVWWZJDoaZsCw=,1,0,,3,2013-08-20
yeze66tvbxN+sNinWvSQLnR6McV8BaDCejLMKa2REGI=,6,26,female,9,2013-08-22
Y0+4p3oGl6djcAx+2DgMRYbQryloqSC7/SYVLjMH2Us=,6,25,male,9,2013-09-06
/gNoSovdWNbl5QLSg1fOQuZEpMSyMGfB80S+JgH2TK4=,1,48,male,3,2014-11-13
o85JFwM4i+/lsm1t07h/WtgZLBgmMZOuysF58kmtWFk=,9,39,male,3,2014-10-05
XHkTy5O8uAAcMwFlIEy+aA8OnCsqiplhLDZx3Lomjlg=,22,27,male,9,2011-07-21
A4AnDIxSi8n4XWC0InWSVHwg6kRPPqtnZQZDJXIUJjY=,1,0,,3,2013-02-02
viJfmrUIzTT4vf9PkEuhhuMxg3CwbDJnteDLQx32xxY=,1,0,,7,2014-10-21
JyrMzjZ4EtRMMpyY2GSUozNeFdyV972dl1hBvPDlz1E=,1,0,,4,2017-02-06
J64TOgceyYHyl8rH2QtIqwjEPOqlGPAtQq0W8BtFFtY=,1,0,,7,2014-01-19
oH55GYEfphMKxBKxc5RdDdtbadoM6VzIdm0u56ldV/w=,18,34,male,7,2013-06-08
kRcYS3vAOXLhWVJ8dH07CCrt7y76zYkqQp0PnYJrLJ0=,14,16,female,3,2013-06-09
e3tyW4HjBIatNkB+m59V/fAxgjBWL7/GI2Brl49jYMY=,22,36,female,9,2006-07-01
F0HPO714jZ8+I7mK9rBPpxh/jV2CuS5flSxed23zj8U=,1,0,,7,2014-06-19
hghTpiF4bRmJuA5ZP+OV2xdwTOxLO/ClItRxr32O6Bk=,1,0,,9,2016-04-19
eJzQQgtJM0sMCJKWK/rPpM34iC/IVK6BQA1gXf8B1vk=,18,32,male,9,2012-04-21
ae4Shlo2zKT9xgYCLJen0kXJLQYcI6teGBY8brPrARM=,1,0,,7,2016-08-04
uoQ73mCQeSvZt4Mf61mRQWFbNUijiRB08nmgGtHBbf8=,6,20,male,3,2013-07-24
pGoqqz5lf5Eyzjs38A43y5ouWwgTqPFTv4ENSPqOGuc=,1,0,,4,2017-02-12
Hq7hq6xI8DguCObdmRkkVT+QhRtAjB1k7Dejzu/D8dA=,1,20,male,3,2017-04-08
PwgimKvT8N1Uo7m3heNTnclEySJCe6raAWDcsR2E2LM=,1,0,,3,2014-02-07
yXKOSbR/WqeNDMoqBZU7ap0YOIBIGuSqZcDIzsqwXeE=,6,0,,9,2015-02-17
SZH8Jwzegbk5wOjizaXJs5u+FJW2XibSyB5076F0J+g=,22,21,male,9,2015-02-19
nGYlniZxJ6Twcx9ucsb6zoF4Ntwpye64KvuHq+Ia4CQ=,1,0,,9,2015-02-28
2ywy6kCsx9nCtmLpcX97sxlon6GZ4HhHpVdIOY+Y1Ro=,1,0,,4,2017-02-27
GoZIbcz3KDfVoY8vQU2QjBU38WQkcQcUyK+3xzxpQWI=,10,0,male,9,2014-08-21
gt6VCn/zN3fjw5w4yWrpwmKIRuiDyqBUMbi7HkPCyB4=,1,0,,7,2014-04-07
n7ET1u5+OvjLCIlRb5DIklKkQo7efLw6aSs1ORDGcEA=,1,0,,3,2013-04-28
